MonthlyIncome,Age,JobSatisfaction,YearsAtCompany,OverTime,Attrition
8561.0,43.0,8.244641006,3.0,No,0.0
11702.0,36.0,1.0,15.0,No,0.0
12714.0,48.0,4.0,15.0,No,1.0
16703.0,45.0,2.0,7.0,No,0.0
5093.0,46.0,3.0,10.0,Yes,0.0
10567.0,44.0,2.0,18.0,No,0.0
14880.0,55.0,3.0,7.0,Yes,0.0
4997.0,55.0,2.0,15.0,Yes,0.0
12511.5,42.0,4.0,16.0,Yes,0.0
7334.0,57.0,4.0,4.0,Yes,0.0
36053.57291,37.0,1.0,9.0,Yes,0.0
5081.0,38.0,2.0,6.0,Yes,1.0
16778.0,41.0,2.0,14.0,Yes,1.0
17224.0,37.0,4.0,10.0,Yes,1.0
13260.0,55.0,4.0,2.0,Yes,3.041494224
36053.57291,41.0,2.0,9.0,Yes,0.0
5318.0,51.0,2.0,18.0,No,0.0
19137.0,42.0,3.0,15.0,Yes,0.0
12511.5,52.0,1.0,17.0,No,3.041494224
4284.0,41.0,1.0,17.0,No,1.0
10036.0,41.0,3.0,12.0,No,1.0
36053.57291,52.0,4.0,4.0,Yes,0.0
7478.0,25.0,2.0,5.0,No,0.0
11330.0,44.0,3.0,16.0,No,0.0
17852.0,37.0,3.0,12.0,Yes,1.0
14563.0,34.0,3.0,8.0,No,0.0
12511.5,45.0,2.0,17.0,Yes,1.0
14287.0,38.0,1.0,19.0,No,0.0
14653.0,57.0,3.0,16.0,Yes,1.0
12511.5,91.1672323,2.0,3.0,Yes,3.041494224
15449.0,25.0,3.0,14.0,Yes,1.0
7439.0,59.0,4.0,14.0,No,1.0
4883.0,28.0,4.0,8.0,Yes,1.0
7445.0,48.0,2.0,18.0,Yes,1.0
11003.0,29.0,4.0,11.0,Yes,0.0
12511.5,25.0,1.0,7.0,Yes,1.0
11053.0,57.0,2.0,8.0,No,1.0
10186.0,33.0,3.0,11.0,No,1.0
16640.0,45.0,8.244641006,16.0,Yes,1.0
4000.0,51.0,1.0,5.0,No,0.0
14985.0,41.0,1.0,6.0,No,1.0
17170.0,54.0,3.0,38.52827745,No,0.0
12511.5,41.0,4.0,18.0,No,1.0
7236.0,48.0,1.0,9.0,No,0.0
19205.0,47.0,3.0,13.0,Yes,1.0
9764.0,39.0,3.0,16.0,Yes,0.0
12807.0,59.0,1.0,17.0,No,1.0
8087.0,34.0,8.244641006,18.0,Yes,1.0
36053.57291,49.0,4.0,5.0,Yes,1.0
14087.0,28.0,4.0,7.0,Yes,0.0
36053.57291,44.0,3.0,12.0,No,0.0
8558.0,33.0,3.0,3.0,No,1.0
7812.0,48.0,3.0,1.0,No,0.0
12511.5,37.0,3.0,15.0,Yes,1.0
16678.0,29.0,1.0,16.0,Yes,1.0
10899.0,39.0,3.0,5.0,Yes,0.0
19649.0,29.0,1.0,0.0,Yes,0.0
9832.0,45.0,1.0,1.0,No,0.0
11307.0,58.0,4.0,8.0,No,0.0
13630.0,91.1672323,3.0,3.0,Yes,0.0
11036.0,28.0,4.0,9.0,No,1.0
12049.0,50.0,4.0,15.0,No,1.0
9719.0,59.0,3.0,12.0,No,0.0
17120.0,26.0,2.0,12.0,Yes,1.0
4920.0,44.0,3.0,8.0,No,1.0
18726.0,35.0,4.0,5.0,No,1.0
13878.0,41.0,4.0,8.0,No,1.0
19420.0,40.0,3.0,12.0,No,1.0
10416.0,33.0,2.0,0.0,No,1.0
16023.0,29.0,3.0,5.0,Yes,0.0
16178.0,41.0,1.0,9.0,Yes,0.0
12511.5,22.0,1.0,15.0,No,0.0
13285.0,41.0,3.0,7.0,No,1.0
5973.0,49.0,2.0,15.0,No,0.0
16353.0,50.0,1.0,4.0,No,1.0
15950.0,35.0,3.0,7.0,No,0.0
36053.57291,41.0,3.0,18.0,No,1.0
12511.5,50.0,3.0,5.0,Yes,1.0
7596.0,33.0,8.244641006,9.0,No,0.0
6575.0,41.0,2.0,11.0,No,1.0
15604.0,48.0,4.0,38.52827745,No,1.0
3858.0,28.0,1.0,15.0,Yes,1.0
10024.0,41.0,3.0,18.0,No,0.0
16935.0,34.0,2.0,9.0,Yes,1.0
17551.0,22.0,3.0,5.0,Yes,1.0
10592.0,31.0,8.244641006,5.0,Yes,0.0
7157.0,91.1672323,2.0,16.0,No,0.0
13504.0,47.0,1.0,0.0,Yes,0.0
12511.5,48.0,1.0,4.0,Yes,1.0
